customs_office_id,name,country,street_and_address,postcode,city,latitude,longitude
PL280537,US w Elblągu,PL,ul. Adama Mickiewicza 43,82-300,Elbląg,54.1558708,19.4044583
PL281337,US w Olsztynie,PL,Al. Marsz. J. Piłsudskiego 59,10-950,Olsztyn,53.7766839,20.476507
PL300000,IAS w Lublinie,PL,ul. Tadeusza Szeligowskiego 24,20-883,Lublin,51.250559,22.5701022
PL300839,Drugi US w Kaliszu,PL,ul. Targowa 1,62-800,Kalisz,51.7624752,18.0895358
PL301000,Delegatura UCS w Białej Podlaskiej,PL,UL. CELNIKÓW POLSKICH 23,21-500,BIAŁA PODLASKA,52.0338399,23.1193948
PL301010,BIAŁA PODLASKA OC,PL,UL. CELNIKÓW POLSKICH 23,21-500,BIAŁA PODLASKA,52.0338399,23.1193948
PL301020,MALASZEWICZE OC,PL,"KOBYLANY, UL. SŁONECZNA 152",21-540,MAŁASZEWICZE,52.0240425,23.5310557
PL301040,KOROSZCZYN OC,PL,,21-550,TERESPOL,52.0743321,23.601254
PL301050,TERESPOL OC,PL,UL. MĘCZENNIKÓW UNICKICH 1,21-550,TERESPOL,52.0743321,23.601254
PL301060,TERESPOL OC DROGOWY,PL,,21-550,TERESPOL,52.0743321,23.601254
PL301070,SŁAWATYCZE OC,PL,PRZEJŚCIE GRANICZNE W SŁAWATYCZACH,21-515,SŁAWATYCZE,51.7635674,23.5555236
PL301439,US w Lesznie,PL,ul. Adama Mickiewicza 7,64-100,Leszno,51.8436498,16.5744141
PL301939,US w Pile,PL,ul. Kossaka 106,64-920,Piła,53.1511324,16.7380343
PL302000,Delegatura UCS w Lublinie,PL,UL. ENERGETYKÓW 20/22,20-468,LUBLIN,51.250559,22.5701022
PL302010,LUBLIN OC,PL,UL. ENERGETYKÓW 20-22,20-468,LUBLIN,51.250559,22.5701022
PL302040,CHEŁM OC,PL,UL. HUTNICZA 3,22-100,CHEŁM,51.1339221,23.4711548
PL302050,DOROHUSK OC,PL,KOLEJOWA 10G,22-175,DOROHUSK,51.1608274,23.803447
PL302060,DOROHUSK OC DROGOWY,PL,,22-175,DOROHUSK,51.1608274,23.803447
PL302070,OC PORT LOTNICZY LUBLIN-ŚWIDNIK,PL,UL. KRÓLA JANA III SOBIESKIEGO 1,21-040,ŚWIDNIK,51.2204629,22.6998639
PL302080,Lublin OC Pocztowy,PL,ul. Moritza 2,20-900,Lublin,51.250559,22.5701022
PL302239,US Poznań-Nowe Miasto,PL,ul. Warszawaska 183/185,61-055,Poznań,52.4082663,16.9335199
PL303000,Delegatura UCS w Zamościu,PL,UL. STREFOWA 5,22-400,ZAMOŚĆ,50.7170854,23.2525711
PL303010,ZAMOŚĆ OC,PL,UL. STREFOWA 5,22-400,ZAMOŚĆ,50.7170854,23.2525711
PL303020,HREBENNE OC,PL,,22-680,LUBYCZA KRÓLEWSKA,50.3411612,23.5196564
PL303030,HRUBIESZÓW OC,PL,UL. NOWA 106,22-500,HRUBIESZÓW,52.8114262,23.5344372
PL303040,ZOSIN OC,PL,,22-523,HORODŁO,50.8940559,24.0457508
PL303080,TOMASZÓW LUBELSKI OC,PL,UL. ŁASZCZOWIECKA 12C,22-600,TOMASZÓW LUBELSKI,50.4469315,23.4165561
PL303091,DOŁHOBYCZÓW OC,PL,PRZEJŚCIE GRANICZNE,22-540,DOŁHOBYCZÓW,50.8593346,24.1354769
PL308000,Lubelski UCS w Białej Podlaskiej,PL,ul. Celników Polskich 21,21-500,Biała Podlaska,52.0338399,23.1193948
PL310000,IAS w Białymstoku,PL,ul. J.K. Branickiego 9,15-085,Białystok,53.132398,23.1591679
PL311000,Delegatura UCS w Białymstoku,PL,UL. OCTOWA 10,15-399,BIAŁYSTOK,53.132398,23.1591679
PL311010,BIAŁYSTOK OC,PL,UL. OCTOWA 10,15-399,BIAŁYSTOK,53.132398,23.1591679
PL311020,KUŹNICA OC KOLEJOWY,PL,DWORZEC PKP,16-123,KUŹNICA BIAŁOSTOCKA,53.5119984,23.6424065
PL311030,KUŹNICA OC DROGOWY,PL,UL. GRANICZNA 1,16-123,KUŹNICA BIAŁOSTOCKA,53.5119984,23.6424065
PL311050,SIEMIANÓWKA OC,PL,"SIEMIANÓWKA, UL. SZKOLNA 2",17-220,NAREWKA,52.8685162,23.7376264
PL311060,POŁOWCE OC,PL,POŁOWCE 25,17-240,CZEREMCHA,52.47453,23.35546
PL311070,BOBROWNIKI OC,PL,,16-040,GRÓDEK,53.095237,23.6677887
PL312000,Delegatura UCS w Łomży,PL,UL. POZNAŃSKA 156,18-400,ŁOMŻA,53.1750699,22.0727551
PL312010,ŁOMŻA OC,PL,UL. POZNAŃSKA 156,18-400,ŁOMŻA,53.1750699,22.0727551
PL313000,Delegatura UCS w Suwałkach,PL,UL. BUCZKA 183,16-400,SUWAŁKI,54.0990636,22.9279363
PL313010,SUWAŁKI OC,PL,UL. RACZKOWSKA 183,16-400,SUWAŁKI,54.0990636,22.9279363
PL313020,AUGUSTÓW OC,PL,UL. TYTONIOWA 13,16-300,AUGUSTÓW,53.8437331,22.9802357
PL318000,Podlaski UCS w Białymstoku,PL,ul. Octowa 2,15-399,Białystok,53.132398,23.1591679
